api_id,config_file,huggingface_id,status
qwen/qwen-2.5-72b-instruct,Qwen_Qwen2.5-72B-Instruct.json,Qwen/Qwen2.5-72B-Instruct,matched
qwen/qwen-2.5-coder-32b-instruct,Qwen_Qwen2.5-Coder-32B-Instruct.json,Qwen/Qwen2.5-Coder-32B-Instruct,matched
qwen/qwen2.5-vl-32b-instruct,qwen_qwen2.5-vl-32b-instruct.json,qwen/qwen2.5-vl-32b-instruct,matched
qwen/qwen2.5-vl-72b-instruct,qwen_qwen2.5-vl-72b-instruct.json,qwen/qwen2.5-vl-72b-instruct,matched
qwen/qwen3-235b-a22b,qwen_qwen3-235b-a22b.json,qwen/qwen3-235b-a22b,matched
qwen/qwen3-235b-a22b-2507,Qwen_Qwen3-235B-A22B-Instruct-2507.json,Qwen/Qwen3-235B-A22B-Instruct-2507,matched
qwen/qwen3-235b-a22b-thinking-2507,qwen_qwen3-235b-a22b-thinking-2507.json,qwen/qwen3-235b-a22b-thinking-2507,matched
qwen/qwen3-32b,qwen_qwen3-32b.json,qwen/qwen3-32b,matched
qwen/qwen3-coder,Qwen_Qwen3-Coder-480B-A35B-Instruct.json,Qwen/Qwen3-Coder-480B-A35B-Instruct,matched
qwen/qwen3-coder-30b-a3b-instruct,qwen_qwen3-coder-30b-a3b-instruct.json,qwen/qwen3-coder-30b-a3b-instruct,matched
qwen/qwen3-vl-235b-a22b-instruct,qwen_qwen3-vl-235b-a22b-instruct.json,qwen/qwen3-vl-235b-a22b-instruct,matched
qwen/qwen3-vl-235b-a22b-thinking,qwen_qwen3-vl-235b-a22b-thinking.json,qwen/qwen3-vl-235b-a22b-thinking,matched
qwen/qwq-32b,qwen_qwq-32b.json,qwen/qwq-32b,matched
sao10k/l3.1-70b-hanami-x1,sao10k_l3.1-70b-hanami-x1.json,sao10k/l3.1-70b-hanami-x1,matched
sao10k/l3.1-euryale-70b,Sao10K_L3.1-70B-Euryale-v2.2.json,Sao10K/L3.1-70B-Euryale-v2.2,matched
sao10k/l3.3-euryale-70b,Sao10K_L3.3-70B-Euryale-v2.3.json,Sao10K/L3.3-70B-Euryale-v2.3,matched
stepfun-ai/step3,stepfun-ai_step3.json,stepfun-ai/step3,matched
tencent/hunyuan-a13b-instruct,tencent_hunyuan-a13b-instruct.json,tencent/hunyuan-a13b-instruct,matched
z-ai/glm-4-32b,z-ai_glm-4-32b.json,z-ai/glm-4-32b,matched
z-ai/glm-4.5,z-ai_glm-4.5.json,z-ai/glm-4.5,matched
z-ai/glm-4.5-air,z-ai_glm-4.5-air.json,z-ai/glm-4.5-air,matched
z-ai/glm-4.5v,z-ai_glm-4.5v.json,z-ai/glm-4.5v,matched
z-ai/glm-4.6,z-ai_glm-4.6.json,z-ai/glm-4.6,matched
z-ai/glm-4.6v,z-ai_glm-4.6v.json,z-ai/glm-4.6v,matched
anthropic/claude-3.5-sonnet,,,no_config
claude-3-7-sonnet-20250219,,,no_config
claude-3-opus-20240229,,,no_config
claude-opus-4-1-20250805,,,no_config
claude-opus-4-20250514,,,no_config
claude-opus-4-5-20251101,,,no_config
claude-sonnet-4-20250514,,,no_config
claude-sonnet-4-5-20250929,,,no_config
deepseek/deepseek-chat,,,no_config
google/gemini-2.5-pro,,,no_config
google/gemini-3-pro-preview,,,no_config
meta-llama/llama-3-70b-instruct,,,no_config
meta-llama/llama-3.2-90b-vision-instruct,,,no_config
mistralai/codestral-2508,,,no_config
nex-agi/deepseek-v3.1-nex-n1:free,,nex-agi/DeepSeek-V3.1-Nex-N1,matched
openai/gpt-4o,,,no_config
openai/gpt-5.1,,,no_config
openai/gpt-5.2,,,no_config
